Problem Name,Ground-truth,Number of Thread
Thread-safe mutable integer holder.,"/**
* A thread-safe integer wrapper using synchronized methods.
*/
public class LLMC {
private int value;

public LLMC(int initialValue) {
this.value = initialValue;
}

public LLMC() {
this(0);
}

public synchronized int get() {
return value;
}

public synchronized void set(int value) {
this.value = value;
}

public synchronized int increment() {
return ++value;
}

public static void main(String[] args) throws InterruptedException {
LLMC counter = new LLMC();

final int NUM_THREADS = 2;
final int INCREMENTS_PER_THREAD = 2;

Thread[] threads = new Thread[NUM_THREADS];

for (int i = 0; i < NUM_THREADS; i++) {
threads[i] = new Thread(() -> {
for (int j = 0; j < INCREMENTS_PER_THREAD; j++) {
counter.increment();
}
});
threads[i].start();
}

for (Thread t : threads) {
t.join();
}

System.out.println(""Final counter value: "" + counter.get());
System.out.println(""Expected value: "" + (NUM_THREADS * INCREMENTS_PER_THREAD));
}
}",3
Counting sheep.,"public class CountingSheep {
volatile boolean asleep;

void tryToSleep() {
while (!asleep) {
countSomeSheep();
}
}

void countSomeSheep() {
System.out.println(""Counting sheep..."");
try {
Thread.sleep(100); // shorter sleep for faster termination
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}
}

public static void main(String[] args) {
CountingSheep counter = new CountingSheep();

Thread sheepThread = new Thread(() -> {
System.out.println(""Sheep is trying to sleep..."");
counter.tryToSleep();
System.out.println(""Sheep has fallen asleep."");
});

Thread controllerThread = new Thread(() -> {
try {
Thread.sleep(200); // shorter wait before sleeping
System.out.println(""Setting asleep = true"");
counter.asleep = true;
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}
});

sheepThread.start();
controllerThread.start();

try {
sheepThread.join();
controllerThread.join();
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}

System.out.println(""Main thread finished."");
}
}",3
Publishing an object.,"import java.util.*;
import java.util.concurrent.ConcurrentHashMap;

class Secrets {
private static final Set<Secret> knownSecrets = ConcurrentHashMap.newKeySet();

public static Set<Secret> getKnownSecrets() {
return knownSecrets;
}
}

class Secret {
private final String content;

public Secret(String content) {
this.content = content;
}

@Override
public String toString() {
return ""Secret{"" +
""content='"" + content + '\'' +
'}';
}
}

public class SecretsMain {

public static void main(String[] args) throws InterruptedException {
Thread t1 = new Thread(() -> {
Secret secret = new Secret(""secret-1"");
Secrets.getKnownSecrets().add(secret);
System.out.println(Thread.currentThread().getName() + "" added: "" + secret);
});

Thread t2 = new Thread(() -> {
Secret secret = new Secret(""secret-2"");
Secrets.getKnownSecrets().add(secret);
System.out.println(Thread.currentThread().getName() + "" added: "" + secret);
});

t1.start();
t2.start();

t1.join();
t2.join();

System.out.println(""All secrets:"");
for (Secret secret : Secrets.getKnownSecrets()) {
System.out.println(secret);
}

System.out.println(""Program finished."");
}
}",3
Using a factory method to prevent the this reference from escaping during construction.,"import java.util.concurrent.CopyOnWriteArrayList;

public class SafeListener {
private SafeListener(EventSource source) {
source.registerListener(new EventListener() {
@Override
public void onEvent(Event e) {
doSomething();
}
});
}

public static SafeListener newInstance(EventSource source) {
return new SafeListener(source);
}

private synchronized void doSomething() {
System.out.println(""SafeListener is doing something."");
}

public static void main(String[] args) throws InterruptedException {
EventSource source = new EventSource();

SafeListener listener = SafeListener.newInstance(source);

Thread eventThread = new Thread(() -> {
for (int i = 0; i < 3; i++) {
source.fireEvent(new Event() {});
try {
Thread.sleep(100);
} catch (InterruptedException e) {
Thread.currentThread().interrupt();
}
}
});

eventThread.start();
eventThread.join();
}
}

class EventSource {
private final CopyOnWriteArrayList<EventListener> listeners = new CopyOnWriteArrayList<>();

public void registerListener(EventListener listener) {
listeners.add(listener);
}

public void fireEvent(Event event) {
for (EventListener listener : listeners) {
listener.onEvent(event);
}
}
}

interface EventListener {
void onEvent(Event e);
}

interface Event {}",2
Thread confinement of local primitive and reference variables.,"import java.util.*;
import java.util.concurrent.ExecutorService;
import java.util.concurrent.Executors;

public class Animals {
private final Ark ark;

public Animals() {
this.ark = new Ark();
}

public int loadTheArk(Collection<Animal> candidates) {
SortedSet<Animal> animals;
int numPairs = 0;
Animal candidate = null;

animals = new TreeSet<>(new SpeciesGenderComparator());
animals.addAll(candidates);
for (Animal a : animals) {
if (candidate == null || !candidate.isPotentialMate(a)) {
candidate = a;
} else {
ark.load(new AnimalPair(candidate, a));
++numPairs;
candidate = null;
}
}
return numPairs;
}

public static void main(String[] args) throws InterruptedException {
Animals animalsApp = new Animals();

Collection<Animal> group1 = createSampleAnimals(4);
Collection<Animal> group2 = createSampleAnimals(4);

ExecutorService executor = Executors.newFixedThreadPool(2);

executor.submit(() -> {
int pairs = animalsApp.loadTheArk(group1);
System.out.println(Thread.currentThread().getName() + "" loaded "" + pairs + "" pairs."");
});

executor.submit(() -> {
int pairs = animalsApp.loadTheArk(group2);
System.out.println(Thread.currentThread().getName() + "" loaded "" + pairs + "" pairs."");
});

executor.shutdown();
}

private static Collection<Animal> createSampleAnimals(int count) {
List<Animal> list = new ArrayList<>();
Random rand = new Random();
Species[] speciesArray = Species.values();
Gender[] genders = Gender.values();

for (int i = 0; i < count; i++) {
Animal animal = new Animal();
animal.species = speciesArray[rand.nextInt(speciesArray.length)];
animal.gender = genders[rand.nextInt(genders.length)];
list.add(animal);
}

return list;
}

static class Animal {
Species species;
Gender gender;

public boolean isPotentialMate(Animal other) {
return species == other.species && gender != other.gender;
}
}

enum Species {
AARDVARK, BENGAL_TIGER, CARIBOU, DINGO
}

enum Gender {
MALE, FEMALE
}

static class AnimalPair {
private final Animal one, two;

public AnimalPair(Animal one, Animal two) {
this.one = one;
this.two = two;
}
}

static class SpeciesGenderComparator implements Comparator<Animal> {
public int compare(Animal one, Animal two) {
int speciesCompare = one.species.compareTo(two.species);
return (speciesCompare != 0)
? speciesCompare
: one.gender.compareTo(two.gender);
}
}

static class Ark {
private final Set<AnimalPair> loadedAnimals = Collections.synchronizedSet(new HashSet<>());

public void load(AnimalPair pair) {
loadedAnimals.add(pair);
System.out.println(Thread.currentThread().getName() + "" loaded a pair: "" + pair.hashCode());
}
}
}",3
Immutable class built out of mutable underlying objects.,"import java.util.*;

/**
* ThreeStooges
*
* A truly immutable class using an unmodifiable set,
* suitable for safe concurrent access and model checking with JPF.
*/
public final class ThreeStooges {
private final Set<String> stooges;

public ThreeStooges() {
Set<String> temp = new HashSet<>();
temp.add(""Moe"");
temp.add(""Larry"");
temp.add(""Curly"");
this.stooges = Collections.unmodifiableSet(temp);
}

public boolean isStooge(String name) {
return stooges.contains(name);
}

public String getStoogeNames() {
// This method returns a string representation of the stooge names
return new ArrayList<>(stooges).toString();
}

public static void main(String[] args) throws InterruptedException {
ThreeStooges threeStooges = new ThreeStooges();

Thread t1 = new Thread(() -> {
String[] names = {""Moe"", ""Larry"", ""Curly"", ""Shemp""};
for (String name : names) {
boolean result = threeStooges.isStooge(name);
System.out.println(""Thread-1: isStooge("" + name + "") = "" + result);
}
System.out.println(""Thread-1: Stooge names: "" + threeStooges.getStoogeNames());
});

Thread t2 = new Thread(() -> {
String[] names = {""Moe"", ""Larry"", ""Curly"", ""Shemp""};
for (String name : names) {
boolean result = threeStooges.isStooge(name);
System.out.println(""Thread-2: isStooge("" + name + "") = "" + result);
}
System.out.println(""Thread-2: Stooge names: "" + threeStooges.getStoogeNames());
});

t1.start();
t2.start();

t1.join();
t2.join();

System.out.println(""All threads have finished execution."");
}
}",3
Immutable holder for caching a number and its factors.,"import java.math.BigInteger;
import java.util.Arrays;
import java.util.ArrayList;
import java.util.List;

/**
* Immutable cache storing one number and its factors.
*/
final class OneValueCache {
private final BigInteger lastNumber;
private final BigInteger[] lastFactors;

public OneValueCache(BigInteger i, BigInteger[] factors) {
this.lastNumber = i;
if (factors != null) {
this.lastFactors = Arrays.copyOf(factors, factors.length);
} else {
this.lastFactors = null;
}
}

public BigInteger[] getFactors(BigInteger i) {
if (lastNumber == null || !lastNumber.equals(i)) {
return null;
}
if (lastFactors == null) {
return null;
}
return Arrays.copyOf(lastFactors, lastFactors.length);
}
}

/**
* A factorizer with synchronized cache access.
* Avoids using volatile or thread pool to remain JPF-compatible.
*/
public class FactorizerWithCache {
private static OneValueCache cache = new OneValueCache(null, null);

public static BigInteger[] factor(BigInteger n) {
List<BigInteger> factors = new ArrayList<>();
BigInteger i = BigInteger.valueOf(2);

while (i.multiply(i).compareTo(n) <= 0) {
while (n.mod(i).equals(BigInteger.ZERO)) {
factors.add(i);
n = n.divide(i);
}
i = i.add(BigInteger.ONE);
}

if (n.compareTo(BigInteger.ONE) > 0) {
factors.add(n);
}

return factors.toArray(new BigInteger[0]);
}

public static void handleRequest(BigInteger number, int threadId) {
BigInteger[] cachedFactors;

synchronized (FactorizerWithCache.class) {
cachedFactors = cache.getFactors(number);

if (cachedFactors == null) {
System.out.println(""Thread "" + threadId + "": Cache miss for "" + number + "", computing..."");
BigInteger[] factors = factor(number);
cache = new OneValueCache(number, factors);
cachedFactors = cache.getFactors(number);
} else {
System.out.println(""Thread "" + threadId + "": Cache hit for "" + number);
}
}

System.out.print(""Thread "" + threadId + "": Factors of "" + number + "" are "");
System.out.println(Arrays.toString(cachedFactors));
}

public static void main(String[] args) throws InterruptedException {
BigInteger numberToFactor = new BigInteger(""100"");

Thread t1 = new Thread(() -> handleRequest(numberToFactor, 1));
Thread t2 = new Thread(() -> handleRequest(numberToFactor, 2));

t1.start();
t2.start();

t1.join();
t2.join();

System.out.println(""All threads have finished execution."");
}
}",3
Caching the last result using a volatile reference to an immutable holder object.,"import java.math.BigInteger;

public class VolatileCachedFactorizer {

private volatile OneValueCache cache = new OneValueCache(null, null);

public void service(BigInteger input) {
BigInteger[] factors = cache.getFactors(input);
if (factors == null) {
factors = factor(input);
cache = new OneValueCache(input, factors);
System.out.println(Thread.currentThread().getName() + "": computed and cached "" + input);
} else {
System.out.println(Thread.currentThread().getName() + "": cache hit for "" + input);
}
encodeIntoResponse(factors);
}

void encodeIntoResponse(BigInteger[] factors) {
System.out.println(Thread.currentThread().getName() + "": response = "" + factors[0]);
}

BigInteger[] factor(BigInteger i) {
return new BigInteger[]{i};
}

private static final class OneValueCache {
private final BigInteger lastNumber;
private final BigInteger[] lastFactors;

public OneValueCache(BigInteger number, BigInteger[] factors) {
this.lastNumber = number;
this.lastFactors = (factors == null) ? null : factors.clone();
}

public BigInteger[] getFactors(BigInteger input) {
if (lastNumber == null || !lastNumber.equals(input)) {
return null;
}
return lastFactors.clone();
}
}

public static void main(String[] args) {
final VolatileCachedFactorizer servlet = new VolatileCachedFactorizer();

Thread t1 = new Thread(() -> servlet.service(new BigInteger(""3"")), ""T1"");
Thread t2 = new Thread(() -> servlet.service(new BigInteger(""5"")), ""T2"");

t1.start();
t2.start();

try {
t1.join();
t2.join();
} catch (InterruptedException e) {
System.out.println(""Interrupted"");
}
}
}",3
Using confinement to ensure thread safety.,"import java.util.*;

/**
* PersonSet
*
* A thread-safe set using synchronized methods,
* adapted to be compatible with Java Pathfinder (JPF).
*/
public class PersonSet {
private final Set<Person> mySet = new HashSet<>();

public synchronized void addPerson(Person p) {
mySet.add(p);
}

public synchronized boolean containsPerson(Person p) {
return mySet.contains(p);
}

public interface Person {
String getName();
}

public static class SimplePerson implements Person {
private final String name;

public SimplePerson(String name) {
this.name = name;
}

@Override
public String getName() {
return name;
}

@Override
public boolean equals(Object o) {
if (this == o) return true;
if (!(o instanceof SimplePerson)) return false;
SimplePerson that = (SimplePerson) o;
return Objects.equals(name, that.name);
}

@Override
public int hashCode() {
return Objects.hash(name);
}

@Override
public String toString() {
return ""Person{name='"" + name + ""'}"";
}
}

public static void main(String[] args) throws InterruptedException {
PersonSet personSet = new PersonSet();

Thread t1 = new Thread(() -> {
Person p = new SimplePerson(""Alice"");
personSet.addPerson(p);
System.out.println(Thread.currentThread().getName() + "" added: "" + p);
});

Thread t2 = new Thread(() -> {
Person p = new SimplePerson(""Bob"");
personSet.addPerson(p);
System.out.println(Thread.currentThread().getName() + "" added: "" + p);
});

t1.start();
t2.start();

t1.join();
t2.join();

List<String> checkNames = Arrays.asList(""Alice"", ""Frank"");
for (String name : checkNames) {
Person p = new SimplePerson(name);
System.out.println(p.getName() + "" is in set? "" + personSet.containsPerson(p));
}

System.out.println(""Program completed."");
}
}",3
Guarding state with a private lock.,"/**
* PrivateLock
* Guarding state with a private lock.
* Rewritten to use explicit threads for JPF compatibility.
*/
public class PrivateLock {
private final Object myLock = new Object();
private Widget widget;

public void someMethod() {
synchronized (myLock) {
if (widget == null) {
System.out.println(Thread.currentThread().getName() + "" initializing widget."");
widget = new Widget();
}
widget.doSomething();
}
}

static class Widget {
void doSomething() {
System.out.println(Thread.currentThread().getName() + "" is doing something with widget."");
}
}

public static void main(String[] args) throws InterruptedException {
PrivateLock privateLock = new PrivateLock();

Thread t1 = new Thread(privateLock::someMethod);
Thread t2 = new Thread(privateLock::someMethod);

t1.start();
t2.start();

t1.join();
t2.join();

System.out.println(""All threads have finished."");
}
}",3
