Topic,Prompt
Thread-safe mutable integer holder.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a thread-safe class in Java that holds a mutable integer value. The class should have methods to get and set the value, both of which must be synchronized to ensure safe access and modification from multiple threads. Use internal locking (synchronized methods) to protect the integrity of the shared state. The requirements are as follows:
  
  All classes and methods must be defined within a single .java file;
  The program must include a public static void main(String[] args) method as the entry point;
  No external libraries or dependencies should be used;
  The code should be clear, well-structured, and follow Java 8 syntax standards;
  If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
  The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary.
  Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
  The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
  Do not add any annotations. "
Counting sheep.,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java program that simulates a person trying to fall asleep by repeatedly counting sheep. The program should include a class with a volatile boolean variable called ""asleep"" to indicate whether the person is asleep. It should also have a method named ""tryToSleep"" which contains a loop that continues as long as ""asleep"" is false. Inside the loop, it should call another method named ""countSomeSheep"". Implement the ""countSomeSheep"" method to represent the action of counting sheep, though its exact implementation can be left empty or contain a simple comment indicating the counting action. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools.
Do not add any annotations."
Publishing an object.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class named Secrets that contains a static Set of objects of type Secret. This set should be initialized with a new instance of HashSet in a method called initialize(). Also, define an empty class named Secret. The goal is for the knownSecrets set to be accessible globally through the Secrets class and be able to store multiple instances of the Secret class. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Using a factory method to prevent the this reference from escaping during construction.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class called SafeListener that securely registers an event listener with an event source. The class should have a private constructor and a static factory method called newInstance, which takes an EventSource object as a parameter, creates an instance of SafeListener, registers a new EventListener with the provided event source, and returns the created SafeListener instance. The EventListener should be implemented in such a way that when its onEvent method is called, it invokes a method named doSomething on the SafeListener instance. Also include empty definitions for the EventSource, EventListener, and Event interfaces so that the code compiles correctly. Ensure that the listener registration is done safely to prevent leaks or improper access. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 2. Use a fixed thread pool or manually manage at most 1 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Thread confinement of local primitive and reference variables.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java program that models the process of loading animals onto an ark in pairs. The program should define classes and enums representing animals, their species and gender, and a mechanism for pairing animals based on species and gender compatibility. Each animal has a species and gender, and only animals of the same species and opposite genders can form a pair.

The main logic is implemented in a method called loadTheArk, which takes a collection of candidate animals as input and returns the number of valid pairs formed. Inside this method, animals are sorted using a custom comparator that orders them first by species and then by gender. This ensures that animals of the same species and opposite genders are grouped together for pairing.

Additionally, implement a class to represent the ark that can store these animal pairs, and a helper class to represent each pair of animals. Ensure proper encapsulation and thread confinement of variables within the method, preventing any unintended side effects or data sharing between threads. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Immutable class built out of mutable underlying objects.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class named ThreeStooges that represents an immutable collection of names belonging to the Three Stooges (Moe, Larry, and Curly). The class should use a Set internally to store these names and provide a method to check if a given name is one of the Stooges. Additionally, include a method that returns a string representation of all Stooge names in list format. Ensure that the internal collection remains immutable from the outside, even though it is built using mutable objects. The requirements are as follows:
  
  All classes and methods must be defined within a single .java file;
  The program must include a public static void main(String[] args) method as the entry point;
  No external libraries or dependencies should be used;
  The code should be clear, well-structured, and follow Java 8 syntax standards;
  If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
 The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
  Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
  The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
  Do not add any annotations. "
Immutable holder for caching a number and its factors.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class that represents an immutable cache for storing a number and its factors. The class should store a single number as a BigInteger and its corresponding factors as an array of BigInteger. It should provide a method to retrieve the cached factors if the input number matches the stored number, otherwise return null. The returned factors array should be a copy to prevent modification of the internal state. Ensure thread safety by making the class immutable using appropriate patterns. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Caching the last result using a volatile reference to an immutable holder object.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java servlet that caches the result of a computation using a volatile reference to an immutable cache object. The servlet should handle requests by extracting a BigInteger value from the request, checking if the cached result matches the input value, and if not, recompute the result and update the cache. The computation in this case is a placeholder that simply returns the input value as a single-element array. The cache should be thread-safe and implemented as an immutable helper class. Use a volatile variable to hold the cache reference to ensure visibility across threads. Include appropriate annotations and structure to indicate thread safety. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
Using confinement to ensure thread safety.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a thread-safe Java class called PersonSet that uses synchronization to ensure safe concurrent access to a set of Person objects. The class should encapsulate a Set<Person> variable, initialized as a HashSet. It should provide two synchronized methods: one to add a Person object to the set, and another to check if the set contains a specific Person object. Additionally, define the Person interface as a nested type within the class. The requirements are as follows:
  
  All classes and methods must be defined within a single .java file;
  The program must include a public static void main(String[] args) method as the entry point;
  No external libraries or dependencies should be used;
  The code should be clear, well-structured, and follow Java 8 syntax standards;
  If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
 The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
  Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
  The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
  Do not add any annotations. "
Guarding state with a private lock.,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class that encapsulates an object and uses a private lock to synchronize access to it. The class should have a member variable representing some state (e.g., a Widget object), which is guarded by the private lock. Include a method where critical sections are protected using the synchronized keyword on the private lock, ensuring thread-safe access or modification of the guarded state. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary. 
Write Java 8 code only. Output a single complete code block using ```java```. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools. 
Do not add any annotations."
