Topic,Prompt
Counting sheep. M1,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java program that simulates a traveler trying to drift into slumber by repeatedly tallying lanterns. The program should include a class with a volatile boolean variable called ""asleep"" to indicate whether the traveler is asleep. It should also have a method named ""tryToSleep"" which contains a loop that continues as long as ""asleep"" is false. Inside the loop, it should call another method named ""countSomeSheep"". Implement the ""countSomeSheep"" method to represent the action of tallying lanterns, though its exact implementation can be left empty or contain a simple statement indicating the tallying action. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary.
Write Java 8 code only. Output a single complete code block using java. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools.
Do not add any annotations."
Counting sheep. M2,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java program that portrays a wanderer attempting to drift into rest by repeatedly surveying comets. The program should include a class with a volatile boolean variable called ""asleep"" to indicate whether the wanderer is asleep. It should also have a method named ""tryToSleep"" which contains a loop that continues as long as ""asleep"" is false. Inside the loop, it should call another method named ""countSomeSheep"". Implement the ""countSomeSheep"" method to represent the action of surveying comets, though its exact implementation can be left empty or contain a simple remark indicating the surveying action. The requirements are as follows:
All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary.
Write Java 8 code only. Output a single complete code block using java. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools.
Do not add any annotations."
Counting sheep. M3,"Please write a concurrent program in Java 8 that implements the following functionality: Write a Java program that depicts a scout attempting to drift into calm by repeatedly observing fireflies. The program should include a class with a volatile boolean variable called ""asleep"" to indicate whether the scout is asleep. It should also have a method named ""tryToSleep"" which contains a loop that continues as long as ""asleep"" is false. Inside the loop, it should call another method named ""countSomeSheep"". Implement the ""countSomeSheep"" method to represent the action of observing fireflies, though its exact implementation can be left empty or contain a simple note indicating the observing action. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary.
Write Java 8 code only. Output a single complete code block using java. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools.
Do not add any annotations."
Immutable class built out of mutable underlying objects. M1,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class named CosmicCats that represents an immutable bundle of identifiers belonging to the Cosmic Cats (Whiskers, Paws, and Claw). The class should use a Set internally to harbor these identifiers and provide a method to determine if a given identifier is one of the Cats. Additionally, include a method that returns a string display of all Cat identifiers in list format. Ensure that the internal bundle remains immutable from the outside, even though it is built using mutable objects. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to execute tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary.
Write Java 8 code only. Output a single complete code block using java. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually handle at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools.
Do not add any annotations."
Immutable class built out of mutable underlying objects. M2,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class named MysticMonkeys that represents an immutable collection of labels belonging to the Mystic Monkeys (Banana, Coco, and Mango). The class should use a Set internally to store these labels and provide a method to check if a given label is one of the Monkeys. Additionally, include a method that returns a string representation of all Monkey labels in list format. Ensure that the internal collection remains immutable from the outside, even though it is built using mutable objects. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to execute tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary.
Write Java 8 code only. Output a single complete code block using java. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools.
Do not add any annotations."
Immutable class built out of mutable underlying objects. M3,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class named StellarSprites that represents an immutable collection of tags belonging to the Stellar Sprites (Flare, Glint, and Spark). The class should use a Set internally to store these tags and provide a method to verify if a given tag is one of the Sprites. Additionally, include a method that returns a string representation of all Sprite tags in list format. Ensure that the internal collection remains immutable from the outside, even though it is built using mutable objects. The requirements are as follows:
All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to execute tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary.
Write Java 8 code only. Output a single complete code block using java. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools.
Do not add any annotations."
Returning a static copy of the location set instead of a 'live' one. M1,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class called DelegatingDeviceTracker that monitors the positions of gadgets in a thread-safe manner using a ConcurrentHashMap. The class should provide methods to fetch the position of a specific gadget, update the position of a gadget, and return an unmodifiable view of all gadget positions. Use delegation to ensure thread safety without explicitly synchronizing methods. Initialize the tracker with a map of gadget IDs to their initial positions. Include two versions of the method to retrieve all positions: one that returns a live unmodifiable map backed by the original data, and another that returns a static snapshot of the current state as an unmodifiable map. Ensure that updating a gadget's position only succeeds if the gadget ID already exists in the map. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary.
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools.
Do not add any annotations."
Returning a static copy of the location set instead of a 'live' one. M2,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class called DelegatingParcelTracker that tracks the positions of packages in a thread-safe manner using a ConcurrentHashMap. The class should provide methods to retrieve the position of a specific package, assign the position of a package, and return an unmodifiable view of all package positions. Use delegation to ensure thread safety without explicitly synchronizing methods. Initialize the tracker with a map of package IDs to their initial positions. Include two versions of the method to retrieve all positions: one that returns a live unmodifiable map backed by the original data, and another that returns a static snapshot of the current state as an unmodifiable map. Ensure that assigning a package's position only succeeds if the package ID already exists in the map. The requirements are as follows:
All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary.
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools.
Do not add any annotations."
Returning a static copy of the location set instead of a 'live' one. M3,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class called DelegatingRobotTracker that monitors the coordinates of robots in a thread-safe manner using a ConcurrentHashMap. The class should provide methods to check the coordinates of a specific robot, modify the coordinates of a robot, and return an unmodifiable view of all robot coordinates. Use delegation to ensure thread safety without explicitly synchronizing methods. Initialize the tracker with a map of robot IDs to their initial coordinates. Include two versions of the method to retrieve all coordinates: one that returns a live unmodifiable map backed by the original data, and another that returns a static snapshot of the current state as an unmodifiable map. Ensure that modifying a robot's coordinates only succeeds if the robot ID already exists in the map. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary.
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools.
Do not add any annotations."
Candidate for lock elision. M1,"Please write a concurrent program in Java 8 that implements the following functionality: Create a Java class named QuantumQuokkas that represents an immutable collection of the labels of the Quantum Quokkas: ""Zig"", ""Zag"", and ""Zog"". The class should provide two methods:

A method isQuokka(String label) that returns true if the given label is one of the Quantum Quokkas, and false otherwise.
A method getQuokkaLabels() that returns a string representation of a list containing the labels of the Quantum Quokkas in the order ""Zig"", ""Zag"", ""Zog"".
Ensure that all fields are properly encapsulated and that the class cannot be modified after construction. Do not make the class thread-unsafe; however, avoid unnecessary synchronization where possible. The requirements are as follows:

All classes and methods must be defined within a single .java file;
The program must include a public static void main(String[] args) method as the entry point;
No external libraries or dependencies should be used;
The code should be clear, well-structured, and follow Java 8 syntax standards;
If multiple classes are needed, they should all be placed in the same file, with non-public classes defined using the class keyword.
The implementation must use multithreading to perform tasks concurrently. You may use Thread, Runnable, or ExecutorService from the standard Java library to achieve this. Ensure that thread safety is considered where necessary.
Write Java 8 code only. Output a single complete code block using java. Do not include any explanations, comments, or extra text. Only output the code, nothing else.
The total number of threads used in the program, including the main thread, must not exceed 3. Use a fixed thread pool or manually manage at most 2 additional threads beyond the main thread. Avoid unbounded thread creation or cached thread pools.
Do not add any annotations."
